State,Name,2014,2015,2016,2017,2018
Alabama,AL,66,0,0,10,0
Alaska,AK,0,0,0,0,0
Arizona,AZ,0,41,0,5,30
Arkansas,AR,0,5,0.3,22,0
California,CA,2800,3100,16400,4700,299
Colorado,CO,4,1,5,35,10
Connecticut,CT,22,0,2,3,0
Delaware,DE,29,24,27,5,0
District of Columbia,DC,0,57,0,0,0
Florida,FL,142,682,373,497,0
Georgia,GA,0,81,1100,0,80
Hawaii,HI,200,200,0,10,0
Idaho,ID,0,0,0,0,0
Illinois,IL,3500,56,5500,830,100
Indiana,IN,3,0.6,110,156,5
Iowa,IA,0,0,15,1,0
Kansas,KS,0,128,0,0,0
Kentucky,KY,50,0,9200,0,0
Louisiana,LA,0,160,200,0,0
Maine,ME,0,30,0,0,0
Maryland,MD,1,0.5,45,0,20
Massachusetts,MA,102,653,38,1400,9
Michigan,MI,320,1400,1000,284,11
Minnesota,MN,0,5,2300,17,0
Mississippi,MS,0,50,0,0,0
Missouri,MO,100,5,80,900,0
Montana,MT,0,0,0,0,0
Nebraska,NE,0,0,0,0,0
Nevada,NV,101,7,251,18,0
New Hampshire,NH,0,80,0,0,0
New Jersey,NJ,100,22,156,28,0
New Mexico,NM,0,0,0,0,0
New York,NY,1500,5300,5700,11700,136
North Carolina,NC,2100,116,86,24,20
North Dakota,ND,0,0,0,0,0
Ohio,OH,15,101,232,400,3
Oklahoma,OK,0,206,0,0,0
Oregon,OR,0,133,4,135,0
Pennsylvania,PA,100,5,90,22,30
Rhode Island,RI,0,0,0,15,0
South Carolina,SC,93,168,58,667,0
South Dakota,SD,0,0,0,0,0
Tennessee,TN,296,155,0,60,65
Texas,TX,636,1700,57,40,895
Utah,UT,46,20,0,0,0
Vermont,VT,0,0,0,0,0
Virginia,VA,27,3,0,6500,25
Washington,WA,206,98,222,873,115
West Virginia,WV,0,0,0,0,0
Wisconsin,WI,340,0,0,0,175
Wyoming,WY,0,0,0,0,0
